,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,AR1101,DESIGN TUTORIAL 1,135,39,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
1,AR1121,LECTURE 1,135,39,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
2,AR1221,LECTURE 1,170,55,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
3,AR1221,LECTURE 1,14,1,50,1,50,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [G]
4,AR2101,DESIGN TUTORIAL 1,41,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
5,AR2221,LECTURE 1,29,6,1,1,5,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
6,AR2722,LECTURE 1,18,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
7,AR2722,LECTURE 1,20,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [G]
8,AR3101,DESIGN TUTORIAL 1,33,7,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
9,AR3222,LECTURE 1,34,7,1,1,300,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
10,AR3222,LECTURE 1,20,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [G]
11,AR4101,DESIGN TUTORIAL 1,34,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
12,AR4101,DESIGN TUTORIAL 2,65,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
13,AR4103,DESIGN TUTORIAL 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
14,AR4104,DESIGN TUTORIAL 1,14,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
15,AR5011,LECTURE 2,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
16,AR5011,LECTURE 3,25,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
17,AR5321,LECTURE 1,21,8,1,1,3,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
18,AR5610,LECTURE 1,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
19,AS2213,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
20,AS2213,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
21,AS2213,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
22,AS2237,LECTURE 1,7,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
23,AS2237,LECTURE 1,5,3,1,1,200,ARTS & SOCIAL SCIENCES,New Students [P]
24,AS2237,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
25,AS3231,SEMINAR-STYLE MODULE CLASS 1,2,2,20,1,103,ARTS & SOCIAL SCIENCES,Returning Students [P]
26,AS3231,SEMINAR-STYLE MODULE CLASS 1,1,2,200,203,203,ARTS & SOCIAL SCIENCES,New Students [P]
27,AS3231,SEMINAR-STYLE MODULE CLASS 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
28,BHT4001A,LECTURE ZA,484,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
29,BHT4001B,LECTURE ZB,495,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
30,BHT4001C,LECTURE ZC,497,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
31,BN4301,LECTURE 1,1,1,10,1,10,ENGINEERING,Returning Students [P]
32,BN4403,LECTURE 1,19,1,10,1,10,ENGINEERING,Returning Students [P]
33,BN4406,LECTURE 1,31,1,1,1,1,ENGINEERING,Returning Students [P]
34,BSP1004,SECTIONAL TEACHING D1,1,1,2,1,2,SCHOOL OF COMPUTING,New Students [P]
35,BSP1004,SECTIONAL TEACHING D2,1,1,1047,1,1047,SCHOOL OF COMPUTING,Returning Students [P]
36,BSP1004,SECTIONAL TEACHING D2,2,1,151,1,151,SCHOOL OF COMPUTING,New Students [P]
37,BSP1004,SECTIONAL TEACHING D3,2,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
38,BSP1004,SECTIONAL TEACHING D4,14,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
39,BSP1004,SECTIONAL TEACHING D4,1,1,75,1,75,SCHOOL OF COMPUTING,New Students [P]
40,BSP1004,SECTIONAL TEACHING D5,13,5,1,1,500,SCHOOL OF BUSINESS,Returning Students [P]
41,BSP1004,SECTIONAL TEACHING D5,2,1,50,1,50,SCHOOL OF COMPUTING,New Students [P]
42,BSP1005A,LECTURE E1,18,4,1,1,1,SCHOOL OF BUSINESS,NUS Students [G]
43,BSP1005B,LECTURE E2,1,1,1500,1,1500,ENGINEERING,Returning Students [P]
44,BSP1005B,LECTURE E2,2,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
45,BSP1005B,LECTURE E2,17,6,1,1,100,SCHOOL OF BUSINESS,NUS Students [G]
46,BSP2001,LECTURE A1,15,2,1,1,1,SCHOOL OF BUSINESS,NUS Students [G]
47,BSP2001,LECTURE A2,15,5,1,1,100,SCHOOL OF BUSINESS,NUS Students [G]
48,BSP2005,LECTURE E,16,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
49,BSP2005,LECTURE E,4,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
50,BSP2005,LECTURE E,10,1,250,1,250,SCHOOL OF BUSINESS,NUS Students [G]
51,BSP3001A,SECTIONAL TEACHING A3,11,3,100,1,708,SCHOOL OF BUSINESS,Returning Students [P]
52,BSP3001B,SECTIONAL TEACHING A5,2,4,100,831,2000,SCHOOL OF BUSINESS,Returning Students [P]
53,BU3180,LECTURE 1,23,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
54,BU3181,LECTURE 1,24,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
55,BU3380,LECTURE 1,31,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
56,BU3491,LECTURE 1,30,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
57,BU3491,LECTURE 1,15,6,1,1,33,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [G]
58,BU4380,LECTURE 1,44,11,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
59,BU4391,LECTURE 1,21,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
60,BU4480,LECTURE 1,58,16,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
61,BU4490,LECTURE 1,44,1,10,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
62,CE2134,LECTURE 1,38,9,1,1,2,ENGINEERING,Returning Students [P]
63,CE2134,LECTURE 1,35,1,1,1,1,ENGINEERING,New Students [P]
