,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,AR1121,LECTURE 1,2,2,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
1,AR2101,DESIGN TUTORIAL 1,38,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
2,AR2221,LECTURE 1,19,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
3,AR2722,LECTURE 1,1,2,1007,1069,1069,SCHOOL OF DESIGN AND ENVIRONMENT,"NUS Students [P, G]"
4,AR3101,DESIGN TUTORIAL 1,22,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
5,AR3222,LECTURE 1,11,13,1,250,1348,SCHOOL OF DESIGN AND ENVIRONMENT,"NUS Students [P, G]"
6,AR4101,DESIGN TUTORIAL 1,25,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
7,AR4101,DESIGN TUTORIAL 2,62,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
8,AR4103,DESIGN TUTORIAL 1,6,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
9,AR4104,DESIGN TUTORIAL 1,17,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
10,AR5011,LECTURE 2,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
11,AR5011,LECTURE 3,23,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
12,AR5321,LECTURE 1,3,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
13,AR5610,LECTURE 1,10,1,746,1,746,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
14,AS2213,LECTURE 1,3,3,13,1,600,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
15,AS3231,SEMINAR-STYLE MODULE CLASS 1,1,2,200,280,280,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
16,BHT4001A,LECTURE ZA,483,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
17,BHT4001B,LECTURE ZB,493,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
18,BHT4001C,LECTURE ZC,498,1,50,1,50,SCHOOL OF BUSINESS,NUS Students [P]
19,BN4403,LECTURE 1,18,1,50,1,50,ENGINEERING,NUS Students [P]
20,BN4406,LECTURE 1,31,0,0,0,0,ENGINEERING,NUS Students [P]
21,BSP2005,LECTURE E,4,13,31,1204,1498,SCHOOL OF BUSINESS,"NUS Students [P, G]"
22,BSP3001A,SECTIONAL TEACHING A3,6,1,1097,1,1097,SCHOOL OF BUSINESS,NUS Students [P]
23,BU3180,LECTURE 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
24,BU3181,LECTURE 1,23,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
25,BU3380,LECTURE 1,31,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
26,BU3491,LECTURE 1,37,1,88,1,88,SCHOOL OF DESIGN AND ENVIRONMENT,"NUS Students [P, G]"
27,BU4380,LECTURE 1,31,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
28,BU4391,LECTURE 1,14,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
29,BU4480,LECTURE 1,38,2,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
30,BU4490,LECTURE 1,40,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
31,CE2134,LECTURE 1,73,4,1,1,200,ENGINEERING,"NUS Students [P, G]"
32,CE2155,LECTURE 1,101,1,1,1,1,ENGINEERING,"NUS Students [P, G]"
33,CE2184,LECTURE 1,105,2,1,1,1,ENGINEERING,"NUS Students [P, G]"
34,CE2407,LECTURE 1,88,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
35,CE2408,LECTURE 1,123,2,1,1,200,ENGINEERING,"NUS Students [P, G]"
36,CE3101,LECTURE 1,9,3,1,1,1000,ENGINEERING,"NUS Students [P, G]"
37,CE3115,LECTURE 1,104,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
38,CE3121,LECTURE 1,106,2,1,1,3843,ENGINEERING,"NUS Students [P, G]"
39,CE3165,LECTURE 1,98,3,1,1,50,ENGINEERING,"NUS Students [P, G]"
40,CE4103,LECTURE 1,147,1,1,1,1,ENGINEERING,NUS Students [P]
41,CE4104,LECTURE 1,90,2,1,1,1,ENGINEERING,NUS Students [P]
42,CE4257,LECTURE 1,43,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
43,CE5101,LECTURE 1,16,0,0,0,0,ENGINEERING,NUS Students [P]
44,CE5104,LECTURE 1,9,1,1,1,1,ENGINEERING,NUS Students [P]
45,CE5105,LECTURE 1,15,2,1,1,1,ENGINEERING,NUS Students [P]
46,CE5203,LECTURE 1,11,1,1,1,1,ENGINEERING,NUS Students [P]
47,CE5307,LECTURE 1,11,2,1,1,100,ENGINEERING,NUS Students [P]
48,CE5509,LECTURE 1,15,1,10,1,10,ENGINEERING,NUS Students [P]
49,CE5514,LECTURE 1,14,0,0,0,0,ENGINEERING,NUS Students [P]
50,CE5604,LECTURE 1,3,1,1,1,1,ENGINEERING,NUS Students [P]
51,CE5703,LECTURE 1,3,1,1,1,1,ENGINEERING,NUS Students [P]
52,CE5712,LECTURE 1,24,0,0,0,0,ENGINEERING,NUS Students [P]
53,CH1101E,LECTURE 1,59,23,1,1,1000,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
54,CH2121,LECTURE 1,27,9,1,1,1800,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
55,CH2225,LECTURE 1,43,4,10,1,500,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
56,CH2227,LECTURE 1,31,2,3,1,10,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
57,CH2271,LECTURE 1,69,9,1,1,1131,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
58,CH2292A,LECTURE 1,83,11,1,1,1000,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
59,CH3221,SECTIONAL TEACHING 1,50,5,1,1,100,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
60,CH3246,LECTURE 1,12,6,1,1,350,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
61,CH3253,SECTIONAL TEACHING 1,26,2,2,1,447,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
62,CH4225,SECTIONAL TEACHING 1,18,1,1,1,1,ARTS & SOCIAL SCIENCES,NUS Students [P]
63,CH4242,SECTIONAL TEACHING 1,24,1,100,1,100,ARTS & SOCIAL SCIENCES,NUS Students [P]
64,CH4245,SECTIONAL TEACHING 1,29,2,50,1,300,ARTS & SOCIAL SCIENCES,NUS Students [P]
65,CH4246,SECTIONAL TEACHING 1,20,2,100,1,100,ARTS & SOCIAL SCIENCES,NUS Students [P]
66,CH4281,SECTIONAL TEACHING 1,25,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
67,CH5210,SECTIONAL TEACHING 1,10,1,1,1,1,ARTS & SOCIAL SCIENCES,NUS Students [P]
68,CH5211,SECTIONAL TEACHING 1,14,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
69,CH5212,SECTIONAL TEACHING 1,14,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
70,CH5222,SECTIONAL TEACHING 1,16,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
71,CL1101E,LECTURE 1,153,27,1,1,296,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
72,CL2121,LECTURE 1,34,1,100,1,100,ARTS & SOCIAL SCIENCES,NUS Students [P]
73,CL2206,LECTURE 1,35,4,3,1,500,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
74,CL2207,LECTURE 1,18,14,1,1,1234,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
75,CL2208,LECTURE 1,46,3,10,1,50,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
76,CL2280,LECTURE 1,44,44,1,1,825,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
77,CL3202,LECTURE 1,29,2,1,1,100,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
78,CL3204,LECTURE 1,38,2,1,1,93,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
79,CL3205,LECTURE 1,53,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
80,CL3221,SECTIONAL TEACHING 1,4,1,1000,1,1000,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
81,CM1101,LECTURE SL1,45,1,10,1,10,SCIENCE,NUS Students [P]
82,CM1417,LECTURE SL1,80,3,1,1,1,SCIENCE,NUS Students [P]
83,CM1501,LECTURE L,39,0,0,0,0,SCIENCE,NUS Students [P]
84,CM2101,LECTURE SL1,13,0,0,0,0,SCIENCE,NUS Students [P]
85,CM2111,LECTURE SL1,78,0,0,0,0,SCIENCE,NUS Students [P]
86,CM2121,LECTURE SL1,5,0,0,0,0,SCIENCE,NUS Students [P]
87,CM2132,LECTURE SL1,72,0,0,0,0,SCIENCE,NUS Students [P]
88,CM2142,LECTURE SL1,37,0,0,0,0,SCIENCE,NUS Students [P]
89,CM2161,LECTURE SL1,28,0,0,0,0,SCIENCE,NUS Students [P]
90,CM2165,LECTURE SL1,9,0,0,0,0,SCIENCE,NUS Students [P]
