,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,AR1221,LECTURE 1,1,17,1,1100,1100,SCHOOL OF DESIGN AND ENVIRONMENT,"NUS Students [P, G]"
1,AR2101,DESIGN TUTORIAL 1,38,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
2,AR2221,LECTURE 1,18,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
3,AR2722,LECTURE 1,2,4,1,300,728,SCHOOL OF DESIGN AND ENVIRONMENT,"NUS Students [P, G]"
4,AR3101,DESIGN TUTORIAL 1,20,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
5,AR3222,LECTURE 1,3,2,77,1,300,SCHOOL OF DESIGN AND ENVIRONMENT,"NUS Students [P, G]"
6,AR4101,DESIGN TUTORIAL 1,23,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
7,AR4101,DESIGN TUTORIAL 2,62,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
8,AR4103,DESIGN TUTORIAL 1,6,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
9,AR4104,DESIGN TUTORIAL 1,17,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
10,AR5011,LECTURE 2,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
11,AR5011,LECTURE 3,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
12,AR5321,LECTURE 1,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
13,AR5610,LECTURE 1,9,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
14,AS2237,LECTURE 1,1,2,100,255,255,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
15,AS3231,SEMINAR-STYLE MODULE CLASS 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
16,BHT4001A,LECTURE ZA,484,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
