,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002X,LECTURE B1,16,39,155,2266,5000,SCHOOL OF BUSINESS,"NUS Students [P, G]"
1,ACC2002,LECTURE B,2,13,1,1561,2860,SCHOOL OF BUSINESS,"NUS Students [P, G]"
2,ACC3601,SECTIONAL TEACHING A2,22,8,1,1,1819,SCHOOL OF BUSINESS,NUS Students [P]
3,ACC3602,SECTIONAL TEACHING B1,11,9,1,1,1783,SCHOOL OF BUSINESS,"NUS Students [P, G]"
4,ACC3602,SECTIONAL TEACHING B2,6,3,726,1,1412,SCHOOL OF BUSINESS,"NUS Students [P, G]"
5,ACC3603,SECTIONAL TEACHING C2,6,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
6,ACC3604,SECTIONAL TEACHING D2,4,5,7,150,1500,SCHOOL OF BUSINESS,NUS Students [P]
7,ACC3605,SECTIONAL TEACHING E1,1,2,313,450,450,SCHOOL OF BUSINESS,"NUS Students [P, G]"
8,ACC3605,SECTIONAL TEACHING E2,13,7,1,1,726,SCHOOL OF BUSINESS,"NUS Students [P, G]"
9,ACC3614,SECTIONAL TEACHING H1,20,14,2,1,2174,SCHOOL OF BUSINESS,"NUS Students [P, G]"
10,AR1101,DESIGN TUTORIAL 1,22,1,200,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
11,AR1121,LECTURE 1,24,2,1,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
12,AR1221,LECTURE 1,11,1,150,1,150,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
13,AR2101,DESIGN TUTORIAL 1,9,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
14,AR3101,DESIGN TUTORIAL 1,58,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
15,AR3222,LECTURE 1,32,8,1,1,249,SCHOOL OF DESIGN AND ENVIRONMENT,"NUS Students [P, G]"
16,AR4101,DESIGN TUTORIAL 1,42,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
17,AR4101,DESIGN TUTORIAL 3,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
18,AR4103,DESIGN TUTORIAL 1,11,1,10,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
19,AR4103,DESIGN TUTORIAL 3,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
20,AR5011,LECTURE 1,74,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
21,AR5321,LECTURE 1,16,1,10,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
22,AR5610,LECTURE 1,11,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
23,AS2213,LECTURE 1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
24,AS3234,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
25,AS3238,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
26,BCP4002A,LECTURE ZA1,492,4,1,1,1,SCHOOL OF BUSINESS,NUS Students [P]
27,BCP4002B,LECTURE ZB1,498,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
28,BHT4001A,LECTURE ZA1,500,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
29,BHT4001B,LECTURE ZB1,499,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
30,BHT4001C,LECTURE ZC1,499,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
31,BN4301,LECTURE 1,15,2,1,1,1,ENGINEERING,NUS Students [P]
32,BN4406,LECTURE 1,42,1,1,1,1,ENGINEERING,NUS Students [P]
33,BSP1004,LECTURE D2,4,14,403,2000,2387,SCHOOL OF BUSINESS,"NUS Students [P, G]"
34,BSP2005,LECTURE E,3,9,250,1000,1240,SCHOOL OF BUSINESS,"NUS Students [P, G]"
35,BU4380,LECTURE 1,8,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
36,BU4480,LECTURE 1,17,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
