,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002X,LECTURE X1,1,13,1,5000,5000,SCHOOL OF BUSINESS,"NUS Students [P, G]"
1,ACC1002X,LECTURE X2,1,10,1,4022,4022,SCHOOL OF BUSINESS,"NUS Students [P, G]"
2,ACC4612D,SECTIONAL TEACHING D1,26,1,309,1,309,SCHOOL OF BUSINESS,"NUS Students [P, G]"
3,AR1101,DESIGN LECTURE 1,21,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
4,AR1327,LECTURE 1,15,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
5,AR2101,DESIGN LECTURE 1,33,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
6,AR2521,LECTURE 1,30,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
7,AR2723,LECTURE 1,30,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
8,AR3101,DESIGN LECTURE 1,11,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
9,AR3222,LECTURE 1,1,3,3,2719,2719,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
10,AR4101,DESIGN LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
11,AR4103,DESIGN LECTURE 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
12,AR4322,LECTURE 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
13,AR5011,LECTURE 1,9,1,200,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
14,AR5312,LECTURE 1,3,1,200,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
15,AR5321,LECTURE 1,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
16,AS2236,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
17,AS2237,LECTURE 1,7,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
18,AS3238,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
19,BN4403,LECTURE 1,1,2,1000,5000,5000,ENGINEERING,NUS Students [P]
20,BN4406,LECTURE 1,61,0,0,0,0,ENGINEERING,NUS Students [P]
21,BSP1004X,LECTURE Y1,2,6,230,600,1401,SCHOOL OF BUSINESS,"NUS Students [P, G]"
22,BSP1005,LECTURE D1,1,2,2,100,100,SCHOOL OF BUSINESS,"NUS Students [P, G]"
23,BSP1005,LECTURE D2,1,2,1,1265,1265,SCHOOL OF BUSINESS,"NUS Students [P, G]"
24,BSP1005,LECTURE D3,5,6,2,583,1506,SCHOOL OF BUSINESS,"NUS Students [P, G]"
25,BSP2001,LECTURE X1,23,0,0,0,0,SCHOOL OF BUSINESS,"NUS Students [P, G]"
26,BSP2001,LECTURE X2,15,2,1,1,10,SCHOOL OF BUSINESS,"NUS Students [P, G]"
27,BSP2005,LECTURE E1,74,0,0,0,0,SCHOOL OF BUSINESS,"NUS Students [P, G]"
28,BSP2005,LECTURE E2,43,0,0,0,0,SCHOOL OF BUSINESS,"NUS Students [P, G]"
29,BSP3513,SECTIONAL TEACHING V1,9,0,0,0,0,SCHOOL OF BUSINESS,"NUS Students [P, G]"
30,BSP4513,SECTIONAL TEACHING C1,7,0,0,0,0,SCHOOL OF BUSINESS,"NUS Students [P, G]"
31,CE2134,LECTURE 1,22,0,0,0,0,ENGINEERING,NUS Students [P]
32,CE2155,LECTURE 1,43,0,0,0,0,ENGINEERING,NUS Students [P]
33,CE2184,LECTURE 1,6,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
34,CE2409,LECTURE 1,138,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
35,CE3101,PACKAGED LECTURE 1,1,2,499,800,800,ENGINEERING,"NUS Students [P, G]"
36,CE3115,LECTURE 1,5,1,1,1,1,ENGINEERING,NUS Students [P]
37,CE3121,LECTURE 1,9,0,0,0,0,ENGINEERING,NUS Students [P]
38,CE3166,LECTURE 1,24,1,1,1,1,ENGINEERING,NUS Students [P]
39,CE4103,LECTURE Dsg,8,2,1,1,2,ENGINEERING,NUS Students [P]
40,CE4257,LECTURE 1,16,0,0,0,0,ENGINEERING,NUS Students [P]
41,CE5101,LECTURE 1,13,1,1,1,1,ENGINEERING,NUS Students [P]
42,CE5104,LECTURE 1,6,1,1,1,1,ENGINEERING,NUS Students [P]
43,CE5108,LECTURE 1,7,2,1,1,1,ENGINEERING,NUS Students [P]
44,CE5113,LECTURE 1,14,1,1,1,1,ENGINEERING,NUS Students [P]
45,CE5203,LECTURE 1,5,1,1,1,1,ENGINEERING,NUS Students [P]
46,CE5205,LECTURE 1,1,0,0,0,0,ENGINEERING,NUS Students [P]
47,CE5307,LECTURE 1,5,0,0,0,0,ENGINEERING,NUS Students [P]
48,CE5312,LECTURE 1,9,0,0,0,0,ENGINEERING,NUS Students [P]
49,CE5510,LECTURE 1,5,0,0,0,0,ENGINEERING,NUS Students [P]
50,CE5514,LECTURE 1,7,2,1,1,100,ENGINEERING,NUS Students [P]
51,CE5610,LECTURE 1,5,1,1,1,1,ENGINEERING,NUS Students [P]
52,CE5804,LECTURE 1,1,2,1,100,100,ENGINEERING,NUS Students [P]
53,CE5806,LECTURE 1,14,0,0,0,0,ENGINEERING,NUS Students [P]
54,CG3002,LECTURE 1,17,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,NUS Students [P]
55,CG3204L,LECTURE 1,1,1,50,1,50,JOINT MULTI-DISCIPLINARY PROGRAMMES,NUS Students [P]
56,CG3207,LECTURE 1,48,1,100,1,100,JOINT MULTI-DISCIPLINARY PROGRAMMES,NUS Students [P]
57,CH1101E,LECTURE 1,16,3,1,1,100,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
58,CH2121,LECTURE 1,25,4,1,1,99,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
59,CH2161,SECTIONAL TEACHING 1,31,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
60,CH2162,LECTURE 1,22,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
61,CH2225,LECTURE 1,40,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
62,CH2243,LECTURE 1,29,1,1,1,1,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
63,CH2244,LECTURE 1,54,1,1,1,1,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
64,CH3221,LECTURE 1,30,2,40,1,351,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
65,CH3223,LECTURE 1,50,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
66,CH3245,LECTURE 1,18,1,1,1,1,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
67,CH4204,LECTURE 1,14,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
68,CH4223,SEMINAR-STYLE MODULE CLASS 1,25,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
69,CH4243,SEMINAR-STYLE MODULE CLASS 1,29,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
70,CH4246,SEMINAR-STYLE MODULE CLASS 1,34,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
71,CH4247,SEMINAR-STYLE MODULE CLASS 1,27,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
72,CH4261,SEMINAR-STYLE MODULE CLASS 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
73,CL1101E,LECTURE 1,1,5,55,1000,1000,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
74,CL2101,LECTURE 1,41,2,1,1,1,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
75,CL2102,LECTURE 1,32,4,1,1,5,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
76,CL2121,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
77,CL2280,LECTURE 1,8,12,1,327,738,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
78,CL3201,LECTURE 1,38,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
79,CL3204,LECTURE 1,22,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
80,CL3207,LECTURE 1,1,1,1,1,1,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
81,CL3221,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
82,CM1131,LECTURE SL1,2,4,5,732,1000,SCIENCE,NUS Students [P]
83,CM1417,LECTURE SL1,69,2,1,1,500,SCIENCE,"NUS Students [P, G]"
84,CM2101,LECTURE SL1,4,0,0,0,0,SCIENCE,NUS Students [P]
85,CM3222,LECTURE SL1,67,0,0,0,0,SCIENCE,NUS Students [P]
86,CM3231,LECTURE SL1,105,0,0,0,0,SCIENCE,NUS Students [P]
87,CM3242,LECTURE SL1,42,1,1,1,1,SCIENCE,NUS Students [P]
88,CM3291,LECTURE SL1,23,0,0,0,0,SCIENCE,NUS Students [P]
89,CM3292,LECTURE SL1,2,0,0,0,0,SCIENCE,NUS Students [P]
90,CM4211,LECTURE SL1,22,1,1,1,1,SCIENCE,NUS Students [P]
91,CM4212,LECTURE SL1,26,5,1,1,105,SCIENCE,NUS Students [P]
92,CM4237,LECTURE SL1,40,0,0,0,0,SCIENCE,NUS Students [P]
93,CM4242,LECTURE SL1,17,0,0,0,0,SCIENCE,NUS Students [P]
94,CM4261,LECTURE SL1,3,0,0,0,0,SCIENCE,NUS Students [P]
95,CM4269,LECTURE SL1,56,0,0,0,0,SCIENCE,NUS Students [P]
96,CM4271,LECTURE SL1,32,0,0,0,0,SCIENCE,NUS Students [P]
97,CN1111,LECTURE 1,12,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
98,CN1111E,LECTURE 1,28,0,0,0,0,ENGINEERING,NUS Students [P]
99,CN2121,LECTURE 1,59,1,1,1,1,ENGINEERING,"NUS Students [P, G]"
100,CN2121E,LECTURE 1,3,0,0,0,0,ENGINEERING,NUS Students [P]
101,CN2122,LECTURE 1,59,0,0,0,0,ENGINEERING,NUS Students [P]
102,CN2122E,LECTURE 1,3,0,0,0,0,ENGINEERING,NUS Students [P]
103,CN3108,SECTIONAL TEACHING 1,16,0,0,0,0,ENGINEERING,NUS Students [P]
104,CN3108,SECTIONAL TEACHING 3,23,0,0,0,0,ENGINEERING,NUS Students [P]
105,CN3109,SECTIONAL TEACHING 1,1,0,0,0,0,ENGINEERING,NUS Students [P]
106,CN3121,LECTURE 1,113,1,1,1,1,ENGINEERING,NUS Students [P]
107,CN3121E,LECTURE 1,2,0,0,0,0,ENGINEERING,NUS Students [P]
108,CN3132,LECTURE 1,112,0,0,0,0,ENGINEERING,NUS Students [P]
109,CN3135,LECTURE 1,97,0,0,0,0,ENGINEERING,NUS Students [P]
110,CN3421,LECTURE 1,105,0,0,0,0,ENGINEERING,NUS Students [P]
111,CN4118E,LECTURE 1,194,0,0,0,0,ENGINEERING,NUS Students [P]
112,CN4118R,LECTURE 1,88,3,1,1,5862,ENGINEERING,NUS Students [P]
113,CN4121,LECTURE 1,74,1,1,1,1,ENGINEERING,NUS Students [P]
114,CN4121E,LECTURE 1,161,0,0,0,0,ENGINEERING,NUS Students [P]
115,CN4201R,LECTURE 1,67,1,1,1,1,ENGINEERING,NUS Students [P]
116,CN4205R,LECTURE 1,13,0,0,0,0,ENGINEERING,NUS Students [P]
117,CN4216R,LECTURE 1,19,2,1,1,1,ENGINEERING,NUS Students [P]
118,CN4217R,LECTURE 1,39,0,0,0,0,ENGINEERING,NUS Students [P]
119,CN4238R,LECTURE 1,21,0,0,0,0,ENGINEERING,NUS Students [P]
120,CN4241R,LECTURE 1,38,1,20,1,20,ENGINEERING,NUS Students [P]
121,CN4246E,LECTURE 1,33,0,0,0,0,ENGINEERING,NUS Students [P]
122,CN4246R,LECTURE 1,39,1,1,1,1,ENGINEERING,NUS Students [P]
123,CN5173,LECTURE 1,2,3,20,800,2164,ENGINEERING,NUS Students [P]
124,CN5222,LECTURE 1,29,1,5000,1,5000,ENGINEERING,NUS Students [P]
125,CN5251,LECTURE 1,38,2,1,1,1,ENGINEERING,NUS Students [P]
126,CP3201,LECTURE 1,62,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
127,CS1010,SECTIONAL TEACHING 5,1,5,2,3200,3200,SCHOOL OF COMPUTING,"NUS Students [P, G]"
128,CS1020,SECTIONAL TEACHING 1,2,1,844,1,844,SCHOOL OF COMPUTING,"NUS Students [P, G]"
129,CS1020E,LECTURE 1,12,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
130,CS1231,SECTIONAL TEACHING 1,19,2,1,1,318,SCHOOL OF COMPUTING,"NUS Students [P, G]"
131,CS1231,SECTIONAL TEACHING 2,34,2,1,1,3,SCHOOL OF COMPUTING,"NUS Students [P, G]"
132,CS2010,LECTURE 1,31,3,1,1,1,SCHOOL OF COMPUTING,"NUS Students [P, G]"
133,CS2100,LECTURE 1,35,3,1,1,1,SCHOOL OF COMPUTING,"NUS Students [P, G]"
134,CS2101,SECTIONAL TEACHING 3,1,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
