,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002,LECTURE V1,10,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1,ACC1002,LECTURE V1,20,37,1,351,746,SCHOOL OF BUSINESS,New Students [P]
2,ACC1002,LECTURE V2,8,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
3,ACC1002,LECTURE V2,20,34,6,252,700,SCHOOL OF BUSINESS,New Students [P]
4,ACC1002X,LECTURE X1,5,15,10,3333,4530,SCIENCE,Returning Students [P]
5,ACC1002X,LECTURE X1,15,0,0,0,0,LAW,Returning Students [P]
6,ACC1002X,LECTURE X1,35,9,1,1,3408,SCHOOL OF COMPUTING,Returning Students [P]
7,ACC1002X,LECTURE X1,20,21,4,5,401,SCIENCE,New Students [P]
8,ACC1002X,LECTURE X1,70,46,1,1,600,SCHOOL OF COMPUTING,New Students [P]
9,ACC1002X,LECTURE X1,10,2,1,1,50,SCHOOL OF BUSINESS,NUS Students [G]
10,ACC1002X,LECTURE X2,91,5,1,1,3000,ENGINEERING,Returning Students [P]
11,ACC1002X,LECTURE X2,15,9,1,1,70,SCIENCE,New Students [P]
12,ACC1002X,LECTURE X2,40,23,1,1,702,ENGINEERING,New Students [P]
13,ACC1002X,LECTURE X2,2,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
14,ACC1002X,LECTURE X2,5,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
15,ACC1002X,LECTURE X3,9,15,1,466,1909,SCIENCE,Returning Students [P]
16,ACC1002X,LECTURE X3,118,0,0,0,0,ENGINEERING,Returning Students [P]
17,ACC1002X,LECTURE X3,10,14,51,88,429,SCIENCE,New Students [P]
18,ACC1002X,LECTURE X3,40,28,1,1,614,ENGINEERING,New Students [P]
19,ACC1002X,LECTURE X3,2,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
20,ACC2002,LECTURE B1,5,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
21,ACC2002,LECTURE B1,10,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
22,ACC2002,LECTURE B2,25,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
23,ACC2002,LECTURE B2,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
24,ACC2002,LECTURE B2,5,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
25,ACC2002,LECTURE B2,10,1,12,1,12,SCHOOL OF BUSINESS,NUS Students [G]
26,ACC4611,SECTIONAL TEACHING K1,15,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
27,ACC4611,SECTIONAL TEACHING K1,2,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
28,ACC4612D,SECTIONAL TEACHING D1,2,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
29,ACC4612D,SECTIONAL TEACHING D1,1,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
30,ACC4612E,SECTIONAL TEACHING E1,15,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
31,ACC4612E,SECTIONAL TEACHING E1,2,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
32,ACC5001,SECTIONAL TEACHING E1,5,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
33,AR1101,DESIGN LECTURE 1,125,109,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
34,AR1327,LECTURE 1,160,149,1,1,120,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
35,AR2101,DESIGN LECTURE 1,55,4,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
36,AR2221,LECTURE 1,8,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [G]
37,AR2222,LECTURE 1,24,1,20,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [G]
38,AR2223,LECTURE 1,55,4,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
39,AR2224,LECTURE 1,60,77,3,217,750,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
40,AR2224,LECTURE 1,7,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [G]
41,AR2225,LECTURE 1,60,42,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
42,AR2521,LECTURE 1,62,4,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
43,AR3101,DESIGN LECTURE 1,21,7,1,1,2,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
44,AR3421,LECTURE 1,23,9,1,1,2,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
45,AR4101,DESIGN LECTURE 1,15,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
46,AR4103,DESIGN LECTURE 1,5,2,1,1,50,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
47,AR5011,LECTURE 1,24,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
48,AR5312,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
49,AR5321,LECTURE 1,32,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
50,AS2237,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
51,AS2237,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
52,AS3239,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
53,AS3239,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [G]
54,BN4202,LECTURE 1,5,3,2,1,301,ENGINEERING,Returning Students [P]
55,BN4406,LECTURE 1,61,2,1,1,729,ENGINEERING,Returning Students [P]
56,BSP1004X,LECTURE Y1,4,2,200,1,999,SCIENCE,Returning Students [P]
57,BSP1004X,LECTURE Y1,33,0,0,0,0,ENGINEERING,Returning Students [P]
58,BSP1004X,LECTURE Y1,24,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
59,BSP1004X,LECTURE Y1,3,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
60,BSP1004X,LECTURE Y1,10,1,1,1,1,SCIENCE,New Students [P]
61,BSP1004X,LECTURE Y1,13,4,1,1,10,ENGINEERING,New Students [P]
62,BSP1004X,LECTURE Y1,35,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
63,BSP1004X,LECTURE Y1,2,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
64,BSP1004X,LECTURE Y1,8,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [G]
65,BSP1005,LECTURE D1,1,1,400,1,400,SCHOOL OF BUSINESS,Returning Students [P]
66,BSP1005,LECTURE D1,2,7,1,300,400,SCHOOL OF BUSINESS,New Students [P]
67,BSP1005,LECTURE D1,5,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [G]
68,BSP1005,LECTURE D2,2,1,1,1,1,ENGINEERING,Returning Students [P]
69,BSP1005,LECTURE D2,2,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
70,BSP1005,LECTURE D2,3,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
71,BSP1005,LECTURE D2,2,3,60,104,148,ENGINEERING,New Students [P]
72,BSP1005,LECTURE D2,2,12,10,414,647,SCHOOL OF BUSINESS,New Students [P]
73,BSP1005,LECTURE D2,2,1,30,1,30,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
74,BSP1005,LECTURE D2,5,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
75,BSP1005,LECTURE D3,2,2,29,1,151,ENGINEERING,New Students [P]
76,BSP1005,LECTURE D3,2,12,21,217,399,SCHOOL OF BUSINESS,New Students [P]
77,BSP1005,LECTURE D3,3,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
78,BSP2005,LECTURE E1,13,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
79,BSP2005,LECTURE E1,2,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
80,BSP2005,LECTURE E1,14,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
81,BSP2005,LECTURE E2,12,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
82,BSP2005,LECTURE E2,3,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
83,BSP3513,SECTIONAL TEACHING V1,16,2,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
84,BSP3513,SECTIONAL TEACHING V1,3,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
85,CE2134,LECTURE 1,34,2,1,1,10,ENGINEERING,Returning Students [P]
86,CE2155,LECTURE 1,66,8,1,1,10,ENGINEERING,Returning Students [P]
87,CE2184,LECTURE 1,102,3,1,1,10,ENGINEERING,Returning Students [P]
88,CE2184,LECTURE 1,10,0,0,0,0,ENGINEERING,Reserved for [G] in later round
89,CE2407,LECTURE 1,30,6,1,1,200,ENGINEERING,Returning Students [P]
90,CE2409,LECTURE 1,220,0,0,0,0,ENGINEERING,Returning Students [P]
91,CE2409,LECTURE 1,10,0,0,0,0,ENGINEERING,Reserved for [G] in later round
